,Theta,Phi
0,1.3363205240328644,3.4233629134193966
1,2.430760938050949,2.826381003186703
2,3.186183423858571,2.7080812850735416
3,2.929725994695454,0.24879452173121064
4,6.213263646445988,4.613364592338289
5,0.49351410567282883,2.083569581357178
6,2.9009318706093916,1.0183630749864239
7,5.8075965249643025,4.4655698961943004
8,2.6920631619979094,1.1810064476221287
9,1.7760972810080837,3.8278722422825635
10,1.754974823527509,5.938685896989275
11,1.908814858667786,2.794655537427014
12,2.93440308957456,6.017305176836312
13,2.4339502407445557,6.185360201845828
14,4.58636623328211,1.84621913624895
15,1.092549974429418,5.956471223713224
16,3.1286052082087705,2.844884049898319
17,2.375593246244979,3.2998014392982298
18,3.140376755708481,0.24705860730699278
19,1.9061822304394893,0.4861195620540606
20,6.212624074110618,2.087346513434468
21,6.242525117173796,2.4452930493015645
22,0.5061822853801732,3.150752704555386
23,5.537452733166169,0.31213092725497005
24,1.154921694922325,3.636853978122144
25,1.18608127547273,0.2316140599987366
26,4.81016992129143,1.28388491507944
27,1.6978805059237374,2.273762071357876
28,1.8724783220797856,3.625916508011437
29,0.3223527179773665,1.4698635708891126
30,5.961457046838457,4.523210028626405
31,0.899825019084726,2.389849033996101
32,1.7034934580876169,3.0248906213007314
33,1.208582451298379,5.402427472720499
34,3.188087578714955,2.153070730527095
35,3.2511073373855943,1.5347369816702197
36,0.24720565819246865,0.20790388452728623
37,6.176882099012508,2.7566917888086975
38,0.6179107526644749,1.48405900913379
39,5.460923677679003,5.293827116657236
40,2.614265149562814,3.85543099366315
41,3.2401692276347,2.7267215751538902
42,2.0392074155788724,2.627906790417632
43,3.090808953599086,0.8043018271137956
44,0.1624893350557409,6.2545044924167525
45,0.6556872152519746,5.921669736217429
46,0.22636917714068197,4.6341251973168225
47,3.4600871431026206,3.500823375004288
48,0.8809452853910366,3.672610109007346
49,0.3040888252948778,1.8161353013108303
50,2.7398533484806435,2.2518900608043837
51,4.7984458492429205,4.181677507342809
52,5.88519171124695,2.438407642738527
53,0.371370342341783,1.3564974198799926
54,0.055304849158146166,2.1854321234645218
55,1.5580530164425277,1.3210734594084497
56,0.38371076465247717,2.013755426623813
57,0.873305897549601,1.0814631353799282
58,4.136565978653822,4.795505155124624
59,1.1817947960249084,5.859897281281116
60,2.594028524031434,0.025340836159916304
61,1.989855062469736,1.392089198932291
62,6.174407457103344,6.235235432998691
63,1.7434708490118351,5.27191560703147
64,2.1668918585395396,0.8172965935939881
